,"№ пробы Химический состав стали УПК, % 1","C Химический состав стали УПК, % 1","Mn Химический состав стали УПК, % 1","Si Химический состав стали УПК, % 1","S Химический состав стали УПК, % 1","P Химический состав стали УПК, % 1","Cr Химический состав стали УПК, % 1","Ni Химический состав стали УПК, % 1","Cu Химический состав стали УПК, % 1","Al Химический состав стали УПК, % 1","N Химический состав стали УПК, % 1","Ti Химический состав стали УПК, % 1","Zr Химический состав стали УПК, % 1","V Химический состав стали УПК, % 1","Mo Химический состав стали УПК, % 1","Nb Химический состав стали УПК, % 1","Sn Химический состав стали УПК, % 1","As Химический состав стали УПК, % 1","Ca Химический состав стали УПК, % 1","CaO Химический состав шлака УПК, % 1","SiO2 Химический состав шлака УПК, % 1","MgO Химический состав шлака УПК, % 1","FeO Химический состав шлака УПК, % 1","Al2O3 Химический состав шлака УПК, % 1","P2O5 Химический состав шлака УПК, % 1","Fe2O3 Химический состав шлака УПК, % 1","MnO Химический состав шлака УПК, % 1","S Химический состав шлака УПК, % 1","Осн.шлака Химический состав шлака УПК, % 1","FeCaпр  Масса, т 
Присадки в ковш, Всего УПК","FeSi65  Масса, т 
Присадки в ковш, Всего УПК","FeMn  Масса, т 
Присадки в ковш, Всего УПК","FeSiMn  Масса, т 
Присадки в ковш, Всего УПК","Известь  Масса, т 
Присадки в ковш, Всего УПК","К.мел.  Масса, т 
Присадки в ковш, Всего УПК","AlП  Масса, т 
Присадки в ковш, Всего УПК","SiCaпр  Масса, т 
Присадки в ковш, Всего УПК","Al12пр  Масса, т 
Присадки в ковш, Всего УПК","Al13пр  Масса, т 
Присадки в ковш, Всего УПК","FeB  Масса, т 
Присадки в ковш, Всего УПК","Пл.шпат  Масса, т 
Присадки в ковш, Всего УПК","FeTi  Масса, т 
Присадки в ковш, Всего УПК","AlГр  Масса, т 
Присадки в ковш, Всего УПК",(Sупкдо-Sупк после)/Sупкдо,"№ пробы Химический состав стали УПК, % Последняя на плавку","C Химический состав стали УПК, % Последняя на плавку","Mn Химический состав стали УПК, % Последняя на плавку","Si Химический состав стали УПК, % Последняя на плавку","S Химический состав стали УПК, % Последняя на плавку","P Химический состав стали УПК, % Последняя на плавку","Cr Химический состав стали УПК, % Последняя на плавку","Ni Химический состав стали УПК, % Последняя на плавку","Cu Химический состав стали УПК, % Последняя на плавку","Al Химический состав стали УПК, % Последняя на плавку","N Химический состав стали УПК, % Последняя на плавку","Ti Химический состав стали УПК, % Последняя на плавку","Zr Химический состав стали УПК, % Последняя на плавку","V Химический состав стали УПК, % Последняя на плавку","Mo Химический состав стали УПК, % Последняя на плавку","Nb Химический состав стали УПК, % Последняя на плавку","Sn Химический состав стали УПК, % Последняя на плавку","As Химический состав стали УПК, % Последняя на плавку","Ca Химический состав стали УПК, % Последняя на плавку","CaO Химический состав шлака УПК, %
Последняя на плавку","SiO2 Химический состав шлака УПК, %
Последняя на плавку","MgO Химический состав шлака УПК, %
Последняя на плавку","FeO Химический состав шлака УПК, %
Последняя на плавку","Al2O3 Химический состав шлака УПК, %
Последняя на плавку","P2O5 Химический состав шлака УПК, %
Последняя на плавку","Fe2O3 Химический состав шлака УПК, %
Последняя на плавку","MnO Химический состав шлака УПК, %
Последняя на плавку","S Химический состав шлака УПК, %
Последняя на плавку","Осн.шлака Химический состав шлака УПК, %
Последняя на плавку","Всего, общий вес заготовок, т Порез заготовки ВСЕГО Порезка",№плавки,№ УПК Основные данные УПК,"Длит. обр-ки, мин. Основные данные УПК","Длительность донной продувки - ВСЕГО, мин Донная продувка аргоном ВСЕГО УПК","Суммарный расход аргона, л Продувка УПК",Продувка приход-выдача по линии 1 Продувка УПК,Продувка приход-выдача по линии 2 Продувка УПК,"Высота шлака по приходу, мм Параметры шлака УПК","Высота шлака на выдаче, мм Параметры шлака УПК",Цвет шлака по приходу Параметры шлака УПК,Цвет шлака на выдаче Параметры шлака УПК,"Температура металла, °С Отбор проб
30,1,"0,055","0,348","0,088","0,0446","0,0154","0,051","0,037","0,041","0,003",0,"0,005","0,005","0,005","0,01","0,01",0,"0,005",0,46,"13,9","12,8","2,5",19,"0,11","0,79","1,9","0,5","3,3094","1,534","0,172",0,0,"2,264","0,029",0,0,0,0,0,"0,406",0,0,"64,126",3,"0,064","0,349","0,085","0,016","0,014","0,052","0,037","0,042","0,0033",0,"0,001","0,005","0,001","0,01","0,001","0,0036","0,0021","0,0021","56,3","27,7","9,12","0,83","3,22","0,1","0,1","0,29","1,38","2,0325","233,92",110432,2,65,58,"65278,15",удовлет. / удовлет.,удовлет./ удовлет.,140,150,черный,белый,1638,1638,1596,1601,18,"10,71"
31,1,"0,07","0,378","0,059","0,0094","0,019","0,078","0,039","0,055","0,003",0,"0,005","0,005","0,005","0,01","0,01",0,"0,005",0,"50,3","25,7",10,"3,28",4,"0,39","1,15","2,73","0,47","1,9572","1,601","0,147",0,0,"0,912",0,0,0,0,0,0,"0,305",0,0,"64,894",3,"0,073","0,376","0,098","0,0033","0,017","0,079","0,042","0,056","0,0042",0,"0,0013","0,005","0,0017","0,0067","0,001","0,0031","0,0016","0,0032","56,9","17,9","10,2","1,08","10,6","0,1","0,13","0,26","0,81","3,1788","241,63",113595,2,65,58,"75422,34",удовлет. / удовлет.,удовлет./ удовлет.,140,140,черный,белый,1665,1661,1610,1598,13,"6,65"
32,1,"0,053","0,362","0,101","0,006","0,02","0,053","0,022","0,037","0,0035",0,"0,001","0,005","0,0012","0,005","0,001","0,0036","0,0021","0,0054","42,2","23,8","7,7","3,91","13,7","0,2","1,44","4,54","0,11","1,7731","1,622",0,0,0,"0,513","0,082",0,0,0,0,0,"0,115",0,0,"51,667",2,"0,076","0,363","0,094","0,0029","0,02","0,054","0,022","0,036","0,003",0,"0,001","0,005","0,0012","0,005","0,001","0,0035","0,0021","0,0026",60,"28,1","6,3","1,02","3,18","0,1","0,1","0,27","1,32","2,1352","250,8",113957,2,59,53,"71169,55",удовлет. / удовлет.,удовлет./ удовлет.,110,120,черный,белый,1652,1646,1614,1618,14,"7,25"
33,2,"0,054","0,374","0,075","0,015","0,015","0,044","0,034","0,049","0,34",0,"0,001","0,005","0,0012","0,01","0,001","0,0034","0,0037","0,0063","57,2","18,3","11,8","1,25","9,04","0,1","0,21","0,29","0,72","3,1257","1,638","0,073","0,105",0,"1,003","0,046",0,0,0,0,0,"0,293",0,0,"33,333",3,"0,064","0,4","0,077","0,01","0,016","0,044","0,033","0,047","0,003",0,"0,001","0,005","0,0011","0,01","0,001","0,0042","0,0035","0,0035","57,2","18,3","11,8","1,25","9,04","0,1","0,21","0,29","0,72","3,1257","253,21",120862,2,38,33,"51480,46",удовлет. / удовлет.,удовлет./ удовлет.,110,130,черный,белый,1663,1646,1596,1605,15,"8,74"
34,2,"0,053","0,365","0,077","0,014","0,011","0,032","0,025","0,039","0,3",0,"0,001","0,005","0,0011","0,01","0,001","0,0033","0,0029","0,0065","54,8","18,9","12,7","0,99","9,6","0,1","0,09","0,24","0,84","2,8995","1,619",0,0,0,"1,322",0,0,0,0,0,0,"0,399",0,0,"50,000",4,"0,064","0,395","0,071","0,007","0,011","0,032","0,026","0,039","0,003",0,"0,001","0,005","0,0011","0,01","0,001","0,0038","0,0025","0,002","54,8","18,9","12,7","0,99","9,6","0,1","0,09","0,24","0,84","2,8995","238,74",120863,2,44,38,"51085,2",удовлет. / удовлет.,удовлет./ удовлет.,110,130,черный,белый,1649,1649,1589,1602,13,"8,34"
35,2,"0,053","0,377","0,089","0,013","0,011","0,034","0,031","0,045","0,33",0,"0,001","0,005","0,0012","0,01","0,001","0,0028","0,0029","0,0055","46,9","19,4","12,6","2,09","14,9","0,1","0,6","2,07","0,35","2,4175","1,586","0,017",0,0,"1,42","0,056",0,0,0,0,0,"0,442",0,0,"46,154",3,"0,067","0,375","0,076","0,007","0,011","0,034","0,029","0,043","0,003",0,"0,001","0,005","0,0011","0,01","0,001","0,0042","0,0027","0,0023","55,5","20,2","12,7","0,97","10,6","0,1","0,08","0,24","0,92","2,7475","248,39",120864,2,38,34,"39989,24",удовлет. / удовлет.,удовлет./ удовлет.,110,150,черный,белый,1629,1625,1570,1600,16,"8,2"
36,1,"0,056","0,315","0,06","0,0125","0,0156","0,041","0,022","0,05","0,003",0,"0,005","0,005","0,005","0,01","0,01",0,"0,005",0,"45,1","18,8","8,43","6,65","12,6","0,44","2,72","2,56","0,23","2,3989","1,586","0,219","0,047",0,"0,998",0,0,0,0,0,0,"0,343",0,0,"52,000",7,"0,089","0,37","0,099","0,006","0,015","0,05","0,026","0,051","0,0032","0,0091","0,001","0,005","0,0011","0,0099","0,001","0,0038","0,0019","0,0014","61,9","21,8","8,5","1,26","2,74","0,1","0,21","0,31","1,3","2,8394","236,33",122987,2,93,83,"118625,4",удовлет. / удовлет.,удовлет./ удовлет.,140,150,черный,белый,1647,1618,1543,1596,20,"9,17"
37,1,"0,055","0,299","0,077","0,0202","0,0107","0,038","0,024","0,045","0,005",0,"0,005","0,005","0,005","0,01","0,01",0,"0,005",0,"46,1","19,2","8,79","7,16","12,6","0,55","2,95","2,51","0,176","2,4010","1,624","0,148","0,083",0,"1,338",0,0,0,0,0,0,"0,362",0,0,"65,347",2,"0,06","0,319","0,074","0,007","0,01","0,039","0,026","0,047","0,0036","0,0076","0,001","0,005","0,001","0,0099","0,001","0,004","0,0021","0,0035","60,3","24,8","7,15","0,9","2,41","0,1","0,04","0,25","1,51","2,4315","241,15",122988,2,57,48,"65301,18",удовлет. / удовлет.,удовлет./ удовлет.,120,140,черный,белый,1632,1615,1581,1604,22,"8,76"
38,1,"0,057","0,346","0,057","0,012","0,0121","0,033","0,016","0,025","0,006",0,"0,005","0,005","0,005","0,01","0,01",0,"0,005",0,"56,8","22,1","9,58","1,05","7,38","0,1","0,12","0,26","0,56","2,5701","1,612","0,171",0,0,"0,79","0,07",0,0,0,0,0,"0,247",0,0,"50,000",2,"0,068","0,346","0,096","0,006","0,011","0,035","0,018","0,027","0,01","0,0068","0,001","0,005","0,0011","0,0099","0,001","0,0025","0,0016","0,0092","56,8","22,1","9,58","1,05","7,38","0,1","0,12","0,26","0,56","2,5701","243,56",122990,2,51,46,"64782,29",удовлет. / удовлет.,удовлет./ удовлет.,120,150,черный,белый,1653,1653,1610,1615,15,"6,37"
39,1,"0,05","0,315","0,059","0,0177","0,0132","0,04","0,027","0,051","0,005",0,"0,005","0,005","0,005","0,01","0,01",0,"0,005",0,"44,7","19,8","11,4","3,26","15,1","0,18","1,14","2,36","0,24","2,2576","1,587","0,169",0,0,"1,196",0,0,0,0,0,0,"0,405",0,"0,05","74,011",2,"0,047","0,311","0,083","0,0046","0,011","0,041","0,029","0,052","0,0085","0,0059","0,001","0,005","0,0011","0,0099","0,001","0,0036","0,002","0,0025","60,8","20,1","9,7","1,07","3,55","0,15","0,13","0,28","1,02","3,0249","236,33",122993,2,67,60,"66934,3",удовлет. / удовлет.,удовлет./ удовлет.,130,150,черный,белый,1646,1647,1610,1614,18,"8,64"
